x             y                   l
0.1755602318  0.0052938370        360
0.1754825277  0.0052863391        361
0.1754000224  0.0052786420        362
0.1753170495  0.0052709688        363
0.1752367395  0.0052634939        364
0.1751612185  0.0052563459        365
0.1750877942  0.0052468445        366
0.1750149389  0.0052355703        367
0.1749451894  0.0052261569        368
0.1748801248  0.0052207849        369
0.1748206077  0.0052206009        370
0.1747702522  0.0052286672        371
0.1747220367  0.0052375202        372
0.1746653680  0.0052361607        373
0.1745950503  0.0052183223        374
0.1745097209  0.0051816398        375
0.1744092494  0.0051267609        376
0.1743084582  0.0050675925        377
0.1742217721  0.0050170315        378
0.1741555944  0.0049814449        379
0.1741122344  0.0049637260        380
0.1740883072  0.0049636001        381
0.1740725909  0.0049725426        382
0.1740570243  0.0049820361        383
0.1740362706  0.0049859614        384
0.1740079175  0.0049805486        385
0.1739719298  0.0049640831        386
0.1739316786  0.0049434066        387
0.1738890358  0.0049260485        388
0.1738452562  0.0049160931        389
0.1738007726  0.0049154119        390
0.1737544380  0.0049248537        391
0.1737053527  0.0049370984        392
0.1736551894  0.0049437910        393
0.1736060182  0.0049398953        394
0.1735599065  0.0049232026        395
0.1735144497  0.0048954467        396
0.1734684982  0.0048645791        397
0.1734236662  0.0048363121        398
0.1733799960  0.0048133383        399
0.1733368655  0.0047967434        400
0.1732912857  0.0047858456        401
0.1732379205  0.0047788879        402
0.1731742388  0.0047751308        403
0.1731010122  0.0047740307        404
0.1730209655  0.0047750504        405
0.1729342569  0.0047811472        406
0.1728427561  0.0047907929        407
0.1727511526  0.0047987621        408
0.1726621056  0.0048020844        409
0.1725765508  0.0047993019        410
0.1724894774  0.0047952544        411
0.1723956034  0.0047961186        412
0.1722960018  0.0048026295        413
0.1721923604  0.0048148852        414
0.1720866308  0.0048325242        415
0.1719824459  0.0048550102        416
0.1718710194  0.0048885319        417
0.1717412137  0.0049393325        418
0.1715872394  0.0050103442        419
0.1714074339  0.0051021710        420
0.1712061135  0.0052112578        421
0.1709925742  0.0053339078        422
0.1707705964  0.0054701212        423
0.1705406619  0.0056209699        424
0.1703009888  0.0057885050        425
0.1700501587  0.0059738951        426
0.1697858688  0.0061768075        427
0.1695046025  0.0063980369        428
0.1692029217  0.0066387059        429
0.1688775207  0.0069002439        430
0.1685246603  0.0071840439        431
0.1681461455  0.0074906797        432
0.1677462198  0.0078208185        433
0.1673283257  0.0081753997        434
0.1668952904  0.0085556064        435
0.1664463271  0.0089644004        436
0.1659767582  0.0094017162        437
0.1654832990  0.0098646810        438
0.1649626637  0.0103507435        439
0.1644117564  0.0108575583        440
0.1638284328  0.0113848656        441
0.1632098960  0.0119373858        442
0.1625521395  0.0125200299        443
0.1618514381  0.0131373071        444
0.1611045796  0.0137933588        445
0.1603095950  0.0144913782        446
0.1594659458  0.0152320646        447
0.1585731111  0.0160151564        448
0.1576311656  0.0168398710        449
0.1566409326  0.0177048050        450
0.1556050956  0.0186086065        451
0.1545246125  0.0195556978        452
0.1533972293  0.0205537335        453
0.1522192362  0.0216117110        454
0.1509854084  0.0227401933        455
0.1496905648  0.0239503302        456
0.1483368171  0.0252473984        457
0.1469282265  0.0266351859        458
0.1454683718  0.0281184333        459
0.1439603960  0.0297029703        460
0.1424050902  0.0313935840        461
0.1407956467  0.0332131546        462
0.1391206824  0.0352005728        463
0.1373637579  0.0374030904        464
0.1355026712  0.0398791215        465
0.1335093410  0.0426923900        466
0.1313706352  0.0458759752        467
0.1290857866  0.0494498107        468
0.1266621570  0.0534259198        469
0.1241184767  0.0578025134        470
0.1214685839  0.0625876721        471
0.1187012765  0.0678304435        472
0.1158073588  0.0735807080        473
0.1127760548  0.0798958229        474
0.1095943236  0.0868425112        475
0.1062607353  0.0944860722        476
0.1027758629  0.1028637388        477
0.0991275999  0.1120070330        478
0.0953040562  0.1219448633        479
0.0912935070  0.1327020425        480
0.0870824317  0.1443165827        481
0.0826795345  0.1568659581        482
0.0781159857  0.1704204865        483
0.0734372599  0.1850318805        484
0.0687059213  0.2007232177        485
0.0639930237  0.2174676054        486
0.0593158280  0.2352537402        487
0.0546665229  0.2540955907        488
0.0500314971  0.2740018032        489
0.0453907347  0.2949759646        490
0.0407573153  0.3169810808        491
0.0361951092  0.3398999344        492
0.0317564704  0.3635976932        493
0.0274941905  0.3879213283        494
0.0234599425  0.4127034791        495
0.0197046363  0.4377558887        496
0.0162684713  0.4629545080        497
0.0131830412  0.4882070684        498
0.0104757007  0.5134042452        499
0.0081680280  0.5384230705        500
0.0062848516  0.5630684563        501
0.0048754300  0.5871164380        502
0.0039824254  0.6104474976        503
0.0036363842  0.6330113828        504
0.0038585209  0.6548231511        505
0.0046457132  0.6758984586        506
0.0060109131  0.6961200613        507
0.0079883958  0.7153415163        508
0.0106032906  0.7334129427        509
0.0138702461  0.7501864280        510
0.0177661242  0.7656121544        511
0.0222442057  0.7796299232        512
0.0272732624  0.7921035028        513
0.0328203575  0.8029256730        514
0.0388518024  0.8120160214        515
0.0453279848  0.8193908005        516
0.0521766909  0.8251635426        517
0.0593255334  0.8294257763        518
0.0667158860  0.8322737393        519
0.0743024248  0.8338030913        520
0.0820533952  0.8340903145        521
0.0899417396  0.8332889189        522
0.0979397501  0.8315926665        523
0.1060211073  0.8291781866        524
0.1141607196  0.8262069598        525
0.1223473670  0.8227703996        526
0.1305456681  0.8189278529        527
0.1387023492  0.8147743826        528
0.1467732157  0.8103946065        529
0.1547220612  0.8058635454        530
0.1625354247  0.8012384804        531
0.1702371955  0.7965185422        532
0.1778495280  0.7916865791        533
0.1853907574  0.7867277728        534
0.1928760979  0.7816292164        535
0.2003087981  0.7763994161        536
0.2076899897  0.7710547987        537
0.2150295500  0.7655950961        538
0.2223366038  0.7600199997        539
0.2296196726  0.7543290899        540
0.2368847206  0.7485244652        541
0.2441325565  0.7426139917        542
0.2513634089  0.7366055814        543
0.2585775085  0.7305066019        544
0.2657750850  0.7243239249        545
0.2729576035  0.7180621864        546
0.2801289425  0.7117247346        547
0.2872924091  0.7053162739        548
0.2944502809  0.6988420220        549
0.3016037994  0.6923077624        550
0.3087599231  0.6857120606        551
0.3159143944  0.6790634800        552
0.3230662654  0.6723673980        553
0.3302155454  0.6656280254        554
0.3373633329  0.6588482901        555
0.3445131984  0.6520282092        556
0.3516644113  0.6451721742        557
0.3588136867  0.6382873365        558
0.3659593573  0.6313790809        559
0.3731015439  0.6244508598        560
0.3802438355  0.6175021522        561
0.3873789780  0.6105418025        562
0.3945065488  0.6035713368        563
0.4016259188  0.5965924220        564
0.4087362557  0.5896068689        565
0.4158357747  0.5826179681        566
0.4229209267  0.5756306883        567
0.4299886265  0.5686488913        568
0.4370364226  0.5616757740        569
0.4440624636  0.5547139028        570
0.4510649410  0.5477660441        571
0.4580406656  0.5408366292        572
0.4649863330  0.5339300531        573
0.4718987439  0.5270505692        574
0.4787747912  0.5202023072        575
0.4856115871  0.5133886610        576
0.4924049823  0.5066149244        577
0.4991506683  0.4998873404        578
0.5058452838  0.4932111781        579
