# Coordonnées chromatiques dans les systèmes Yxy et L*a*b* et longueur d'onde dominante 
# RD / Illuminant D65, 2°, 400-700 nm. Kelly & Judd, 1976
#
#              (nm)     %
 sample      lambdaD   Pe       Y        x         y         L        a         b
#-------     --------  -------  -------  --------  --------  -------  --------  -------
D65               0.0      nan      nan  0.312727  0.329024      nan       nan      nan
6528gla      563.4130  20.3851  28.1020  0.330000  0.384400  59.9807  -10.9271  15.6733
6528glaref   563.4130      nan      nan  0.394507  0.603571      nan       nan      nan
6528tc       580.7450  21.5337  47.8456  0.356800  0.361900  74.7275    4.7719  16.6289
6528tcref    581.7450      nan      nan  0.519073  0.480029      nan       nan      nan
#
6529gla      482.5390   3.7111  27.8390  0.304100  0.322900  59.7430   -1.0063  -2.6014
6529glaref   482.5390      nan      nan  0.082680  0.156866      nan       nan      nan
6529tc       585.1510  31.8762  38.8237  0.387000  0.368700  68.6233   12.2616  22.2736
6529tcref    585.1510      nan      nan  0.544787  0.454434      nan       nan      nan
6529glaSPMO       0.0      nan      nan  0.312700  0.342500      nan       nan      nan
#
6530gla      594.3870   8.8767   6.5046  0.338200  0.335300  30.6515    4.0358   2.9336
6530glaref   594.3870      nan      nan  0.597658  0.401762      nan       nan      nan
6530tc       579.6970  23.2983  47.3484  0.358800  0.366200  74.4121    3.9571  18.1418
6530tcref    579.6970      nan      nan  0.356800  0.361900      nan       nan      nan
#
6531gla      579.2360  43.6453  22.9553  0.397700  0.400000  55.0262    4.6173  27.6190
6531glaref   579.2360      nan      nan  0.505845  0.493211      nan       nan      nan
6531tc       583.0660  27.1537  38.9266  0.372400  0.366400  68.6981    8.2309  19.2309
6531tcref    583.0660      nan      nan  0.532066  0.467091      nan       nan      nan
#
6532gla      575.3040  13.8424  50.0114  0.336000  0.355200  76.0763   -0.6354  11.4856
6532glaref   575.3040      nan      nan  0.478775  0.520202      nan       nan      nan
6532tc       581.1490  24.5775  35.6760  0.369900  0.370400  66.2716    5.8714  19.3552
6532tcref    581.1490      nan      nan  0.519073  0.480029      nan       nan      nan
#
