oxyde  6528val  6528err  6529val  6529err  6530val  6530err  6532val  6532err
SiO2     50.12     3.37    54.61     6.48    51.64     0.75    39.64     3.68
CaO      16.80     2.58     3.51     1.64    21.25     2.08     5.85     0.63
Al2O3     2.73     1.39    11.80     2.82     1.95     0.46     4.02     0.61
MgO      21.95     3.09     0.28     0.13     2.83     0.36     0.80     0.28
Na2O       nan      nan     1.06     0.13     0.19     0.07     0.25     0.10
K2O        nan      nan     9.44     2.19     1.30     0.32     1.07     0.09
Fe2O3     3.94     2.24     2.09     0.32      nan      nan     1.83     0.16
PbO       3.88     0.90    16.83    10.17     7.97     1.01    43.92     4.89
SnO2       nan      nan      nan      nan      nan      nan     2.14     1.39
CuO       0.30     0.23      nan      nan      nan      nan      nan      nan
CoO        nan      nan      nan      nan      nan      nan      nan      nan
MnO        nan      nan      nan      nan    12.50     0.64      nan      nan
Cr2O3      nan      nan      nan      nan      nan      nan      nan      nan
ZnO        nan      nan      nan      nan      nan      nan      nan      nan
Sb2O3      nan      nan      nan      nan      nan      nan      nan      nan
TiO2      0.23     0.07     0.14     0.09      nan      nan     0.24     0.07
S         0.12     0.04      nan      nan     0.23     0.05      nan      nan
P2O5       nan      nan      nan      nan      nan      nan      nan      nan
Cl         nan      nan     0.24     0.15      nan      nan     0.24     0.11
As2O3      nan      nan      nan      nan      nan      nan      nan      nan
