oxyde  6528val  6528err  6529val  6529err  6530val  6530err  6531val  6531err  6532val  6532err  bilan
SiO2     36.55     3.79    34.02     1.03    46.37     0.83    39.00     1.27    38.59     1.43      1
CaO       2.43     0.23     1.95     0.24     5.92     0.36     2.67     0.20     3.77     0.06      2
Al2O3     2.37     0.18     0.35     0.08     3.97     0.93     1.04     0.11     1.65     0.15      6
MgO       0.67     0.08     0.39     0.06     0.99     0.14     0.39     0.11     0.60     0.04      3
Na2O      0.34     0.02     0.50     0.08     0.40     0.07     0.75     0.08     0.28     0.04      4
K2O       0.91     0.10     1.56     0.12     3.17     0.61     1.45     0.08     0.94     0.06      5
Fe2O3     1.13     0.09     0.55     0.13     2.09     0.10     3.95     0.43     0.90     0.13      9
PbO      54.49     4.05    56.75     1.46    32.27     0.67    50.34     0.98    47.88     1.43      7
SnO2       nan      nan     2.39     0.24      nan      nan      nan      nan     5.19     0.43      8
CuO       0.72     0.09      nan      nan      nan      nan      nan      nan      nan      nan     10
CoO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
MnO        nan      nan      nan      nan     4.29     0.34      nan      nan      nan      nan     11
Cr2O3      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
ZnO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
Sb2O3      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
TiO2      0.15     0.06      nan      nan     0.24     0.04     0.19     0.02      nan      nan     99
S          nan      nan     0.34     0.05     0.14     0.06      nan      nan      nan      nan     99
P2O5       nan      nan     0.70     0.13      nan      nan      nan      nan      nan      nan     99
Cl        0.25     0.05     0.51     0.06     0.14     0.04     0.20     0.09     0.22     0.08     99
As2O3      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
