oxyde  6528val  6528err  6529val  6529err  6530val  6530err  6531val  6531err  6532val  6532err  bilan
SiO2     53.71     2.42    49.38     0.61    53.57     1.17    60.58     4.99    51.96     1.62      1
CaO      20.30     1.22    18.70     0.88    17.88     0.58    17.68     1.82    19.46     0.96      2
Al2O3    12.58     0.68    14.97     0.33    14.01     0.40    10.93     1.68    14.03     0.61      6
MgO       3.10     0.24     2.50     0.35     3.25     0.05     2.33     0.17     3.47     0.27      3
Na2O      0.63     0.05     0.62     0.07     0.58     0.03     0.45     0.09     0.53     0.05      4
K2O       1.53     0.07     2.26     0.21     1.91     0.20     1.46     0.25     1.43     0.16      5
Fe2O3     7.18     0.65     9.06     0.18     7.20     0.50     5.65     1.00     7.52     0.36      7
PbO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
SnO2       nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
CuO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
CoO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
MnO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
Cr2O3      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
ZnO        nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
Sb2O3      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
TiO2      0.68     0.04     0.85     0.03     0.83     0.08     0.60     0.09     0.81     0.10      8
S         0.19     0.03      nan      nan     0.27     0.03     0.33     0.03     0.15     0.03     99
P2O5       nan      nan     1.59     0.15     0.45     0.05      nan      nan     0.57     0.23     99
Cl        0.09     0.02     0.07     0.01     0.05     0.01      nan      nan     0.06     0.02     99
As2O3      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan     99
