  lambda       6528gla    6529gla    6530gla    6531gla    6532gla   6529glaSPMO
% absorb(nm)  --------   --------   --------   --------   --------   -----------
     190      0.834431   0.888688   0.831407   0.887095   0.816013           nan
     191      0.841796   0.868298   0.843216   0.889882   0.815444           nan
     192      0.822906   0.839522   0.856161   0.900542   0.817872           nan
     193      0.842300   0.859889   0.875959   0.915623   0.829870           nan
     194      0.857633   0.840320   0.853326   0.907101   0.832433           nan
     195      0.842107   0.830133   0.870144   0.916268   0.849629           nan
     196      0.845003   0.844800   0.866121   0.885240   0.833969           nan
     197      0.848455   0.844965   0.880497   0.900011   0.845668           nan
     198      0.859322   0.857099   0.868748   0.902297   0.850364           nan
     199      0.856784   0.872403   0.877421   0.920155   0.857439           nan
     200      0.869660   0.862729   0.888164   0.928050   0.867961           nan
     201      0.879162   0.873401   0.900370   0.934157   0.873332           nan
     202      0.884430   0.868660   0.904743   0.933127   0.881968           nan
     203      0.886727   0.889487   0.920972   0.955464   0.896915           nan
     204      0.898737   0.888753   0.917220   0.957436   0.899227           nan
     205      0.902772   0.896415   0.931297   0.965038   0.906421           nan
     206      0.913711   0.902954   0.932872   0.970475   0.910257           nan
     207      0.916396   0.901197   0.940711   0.972092   0.912427           nan
     208      0.925897   0.913023   0.945287   0.986807   0.919160           nan
     209      0.929786   0.923851   0.953459   0.993807   0.926654           nan
     210      0.943339   0.923736   0.961550   0.999169   0.928163           nan
     211      0.943581   0.930629   0.963579   1.004980   0.935152           nan
     212      0.953488   0.933895   0.978076   1.009690   0.943106           nan
     213      0.957069   0.935801   0.976827   1.012350   0.942322           nan
     214      0.957671   0.940591   0.985650   1.019520   0.946947           nan
     215      0.961623   0.944438   0.983351   1.022710   0.951275           nan
     216      0.966105   0.957028   0.990383   1.026210   0.951678           nan
     217      0.971232   0.959463   0.991788   1.033200   0.952795           nan
     218      0.973959   0.963416   0.996682   1.037000   0.955935           nan
     219      0.976681   0.964955   1.003250   1.042730   0.960970           nan
     220      0.978347   0.971322   1.007020   1.041870   0.959499           nan
     221      0.985239   0.978036   1.009060   1.049500   0.959168           nan
     222      0.989281   0.983108   1.016230   1.054920   0.966146           nan
     223      0.991657   0.986552   1.014810   1.053690   0.967872           nan
     224      0.995731   0.991276   1.020880   1.062530   0.971492           nan
     225      1.000360   0.993063   1.027550   1.069050   0.976913           nan
     226      1.003050   1.000410   1.028320   1.069290   0.977513           nan
     227      1.004910   1.001520   1.036100   1.077080   0.981333           nan
     228      1.011210   1.005360   1.035810   1.082150   0.985600           nan
     229      1.014770   1.007200   1.039770   1.088010   0.990339           nan
     230      1.019010   1.007640   1.043780   1.090910   0.994778           nan
     231      1.020030   1.014220   1.046780   1.092620   0.996880           nan
     232      1.022990   1.017210   1.049100   1.095560   1.000150           nan
     233      1.027890   1.017810   1.055390   1.102660   1.005650           nan
     234      1.031260   1.022960   1.059080   1.106190   1.007160           nan
     235      1.034230   1.026700   1.066190   1.113040   1.013110           nan
     236      1.038510   1.029610   1.065020   1.115240   1.016480           nan
     237      1.041060   1.029520   1.074210   1.119990   1.021170           nan
     238      1.049070   1.031590   1.077730   1.119840   1.024530           nan
     239      1.050850   1.034730   1.084810   1.124740   1.030050           nan
     240      1.054390   1.033650   1.088080   1.126150   1.029430           nan
     241      1.053770   1.034580   1.089220   1.124190   1.037020           nan
     242      1.059880   1.035900   1.093230   1.127020   1.039110           nan
     243      1.057090   1.038680   1.095900   1.129720   1.040870           nan
     244      1.062090   1.038550   1.099730   1.129670   1.044500           nan
     245      1.064910   1.040010   1.103410   1.130080   1.044070           nan
     246      1.064820   1.039540   1.105100   1.127720   1.040630           nan
     247      1.065690   1.042750   1.109300   1.128920   1.049340           nan
     248      1.068730   1.040990   1.114150   1.127300   1.046150           nan
     249      1.069470   1.039390   1.114410   1.127830   1.048840           nan
     250      1.069680   1.036900   1.119960   1.126280   1.048240           nan
     251      1.067820   1.036800   1.119970   1.127610   1.045520           nan
     252      1.067930   1.034750   1.124380   1.123340   1.046250           nan
     253      1.066110   1.036300   1.122330   1.119280   1.042290           nan
     254      1.070090   1.034060   1.126510   1.116460   1.042030           nan
     255      1.066650   1.031940   1.128490   1.115070   1.040290           nan
     256      1.065010   1.028860   1.131790   1.113730   1.041970           nan
     257      1.065470   1.026820   1.131470   1.113790   1.035770           nan
     258      1.065420   1.026630   1.132480   1.109760   1.032360           nan
     259      1.062530   1.020410   1.135310   1.112170   1.029660           nan
     260      1.063780   1.019950   1.138810   1.113120   1.029800           nan
     261      1.064950   1.015480   1.137710   1.109450   1.028530           nan
     262      1.064160   1.016210   1.139000   1.109870   1.022470           nan
     263      1.063500   1.012010   1.143370   1.111770   1.021510           nan
     264      1.065810   1.008770   1.142610   1.113120   1.021930           nan
     265      1.065490   1.009930   1.143330   1.113890   1.018700           nan
     266      1.065940   1.006220   1.143800   1.116110   1.016610           nan
     267      1.063830   1.002040   1.148460   1.121970   1.017300           nan
     268      1.063730   1.000630   1.149330   1.117060   1.014100           nan
     269      1.065230   0.999317   1.148700   1.119090   1.012270           nan
     270      1.064120   0.994377   1.147480   1.122100   1.009420           nan
     271      1.062060   0.993771   1.148970   1.122720   1.008540           nan
     272      1.064350   0.992725   1.150760   1.126180   1.009090           nan
     273      1.064820   0.986380   1.150640   1.122590   1.007430           nan
     274      1.064470   0.985208   1.150430   1.125080   1.003050           nan
     275      1.063550   0.987644   1.152050   1.128810   1.005990           nan
     276      1.065430   0.984618   1.152740   1.127580   1.001780           nan
     277      1.064750   0.983907   1.155280   1.130990   1.001970           nan
     278      1.067480   0.981941   1.153950   1.135800   1.001600           nan
     279      1.065740   0.982286   1.157210   1.135710   1.001870           nan
     280      1.064330   0.980408   1.156860   1.135690   0.998293           nan
     281      1.062090   0.978818   1.157350   1.137810   1.001760           nan
     282      1.064010   0.977687   1.159650   1.139890   1.000730           nan
     283      1.064310   0.978651   1.157780   1.142070   0.998254           nan
     284      1.064920   0.975273   1.157540   1.139530   0.994855           nan
     285      1.063940   0.978729   1.159500   1.140270   0.994677           nan
     286      1.065210   0.974788   1.160770   1.146030   0.998355           nan
     287      1.064810   0.973462   1.163010   1.145080   0.993564           nan
     288      1.063180   0.974453   1.160500   1.146670   0.993105           nan
     289      1.063940   0.970238   1.162340   1.146040   0.991215           nan
     290      1.066280   0.971997   1.162300   1.149740   0.989634           nan
     291      1.062520   0.971707   1.164430   1.149500   0.990412           nan
     292      1.063080   0.969123   1.164490   1.152520   0.987365           nan
     293      1.062400   0.967948   1.164770   1.152630   0.986156           nan
     294      1.064140   0.968665   1.165730   1.156150   0.987557           nan
     295      1.063670   0.969233   1.164630   1.155900   0.982126           nan
     296      1.063800   0.969261   1.168950   1.157670   0.983350           nan
     297      1.062030   0.965947   1.169200   1.155580   0.979302           nan
     298      1.059410   0.967151   1.169100   1.157090   0.977237           nan
     299      1.059540   0.966097   1.167950   1.160220   0.976395           nan
     300      1.059490   0.962474   1.172290   1.158770   0.973854           nan
     301      1.059780   0.962916   1.172330   1.161350   0.970884           nan
     302      1.061330   0.960978   1.172860   1.164010   0.968499           nan
     303      1.061670   0.959867   1.171800   1.164380   0.965452           nan
     304      1.059030   0.956589   1.172890   1.164620   0.965967           nan
     305      1.059010   0.953564   1.175940   1.168630   0.960708           nan
     306      1.056380   0.955467   1.178150   1.169070   0.957864           nan
     307      1.056220   0.953234   1.177870   1.170530   0.955494           nan
     308      1.058450   0.952358   1.177540   1.168090   0.953700           nan
     309      1.048860   0.949904   1.184230   1.165510   0.933972           nan
     310      1.045370   0.953785   1.186960   1.171110   0.933440           nan
     311      1.045420   0.951969   1.190360   1.171340   0.930120           nan
     312      1.047270   0.949429   1.188260   1.168470   0.926144           nan
     313      1.048170   0.949200   1.188230   1.171390   0.924576           nan
     314      1.047070   0.946407   1.191730   1.174030   0.920976           nan
     315      1.044880   0.945852   1.191850   1.175510   0.916708           nan
     316      1.043670   0.943030   1.190640   1.174690   0.911195           nan
     317      1.044720   0.941068   1.192400   1.177400   0.907255           nan
     318      1.044760   0.940307   1.193590   1.178850   0.901348           nan
     319      1.045840   0.937991   1.195400   1.179310   0.898948           nan
     320      1.043850   0.935568   1.196770   1.181140   0.895383           nan
     321      1.043970   0.934893   1.196050   1.181030   0.890206           nan
     322      1.043410   0.932768   1.195580   1.182660   0.887498           nan
     323      1.043690   0.932028   1.196850   1.184750   0.882725           nan
     324      1.041850   0.928594   1.198640   1.185880   0.878755           nan
     325      1.042700   0.925870   1.200440   1.185660   0.875218           nan
     326      1.042290   0.925877   1.201070   1.187110   0.870798           nan
     327      1.043490   0.923894   1.200620   1.188650   0.865493           nan
     328      1.038840   0.920675   1.203760   1.191680   0.864425           nan
     329      1.039690   0.919969   1.203510   1.191300   0.859660           nan
     330      1.040660   0.916261   1.202580   1.192420   0.856013           nan
     331      1.039130   0.913884   1.204610   1.193240   0.851431           nan
     332      1.039120   0.910999   1.205210   1.193060   0.849248           nan
     333      1.037730   0.908607   1.207440   1.195290   0.844097           nan
     334      1.037160   0.905188   1.207480   1.196660   0.840464           nan
     335      1.038250   0.905186   1.207580   1.197100   0.836039           nan
     336      1.036610   0.902861   1.208180   1.197570   0.833854           nan
     337      1.034750   0.899490   1.209400   1.198260   0.829500           nan
     338      1.036180   0.898171   1.210230   1.199190   0.825065           nan
     339      1.035190   0.894785   1.210840   1.200410   0.821908           nan
     340      1.034730   0.891794   1.213160   1.201630   0.817840           nan
     341      1.033190   0.888606   1.211160   1.201020   0.812685           nan
     342      1.033160   0.886847   1.213140   1.203050   0.809072           nan
     343      1.032400   0.882850   1.213310   1.202140   0.806119           nan
     344      1.030730   0.880190   1.214600   1.204240   0.802668           nan
     345      1.031740   0.878017   1.214930   1.203820   0.798664           nan
     346      1.031300   0.875970   1.215750   1.204410   0.795167           nan
     347      1.028790   0.872186   1.217410   1.206400   0.793213           nan
     348      1.028500   0.870856   1.216400   1.205310   0.786935           nan
     349      1.028490   0.868100   1.217090   1.205180   0.783737           nan
     350      1.027640   0.864170   1.219430   1.206960   0.781250           nan
     351      1.026540   0.861503   1.219260   1.207700   0.778093           nan
     352      1.026220   0.858390   1.218520   1.206220   0.773137           nan
     353      1.025130   0.856377   1.218400   1.208810   0.770006           nan
     354      1.024890   0.853993   1.219620   1.207400   0.765931           nan
     355      1.023130   0.849887   1.220500   1.207010   0.762930           nan
     356      1.021610   0.848914   1.220290   1.208080   0.759207           nan
     357      1.022250   0.844108   1.221250   1.209110   0.754403           nan
     358      1.020730   0.841307   1.221690   1.207500   0.750222           nan
     359      1.019580   0.838657   1.222420   1.207770   0.746167           nan
     360      1.019560   0.835487   1.222710   1.208970   0.742431           nan
     361      1.018050   0.832508   1.223640   1.208910   0.739197           nan
     362      1.016840   0.830909   1.224410   1.209660   0.735838           nan
     363      1.015970   0.827907   1.223760   1.207750   0.731619           nan
     364      1.014830   0.824507   1.224520   1.207950   0.727797           nan
     365      1.014540   0.821495   1.224400   1.207610   0.723425           nan
     366      1.013410   0.818757   1.224510   1.207160   0.719635           nan
     367      1.011570   0.815919   1.225660   1.206790   0.715577           nan
     368      1.010250   0.812078   1.225850   1.208130   0.712043           nan
     369      1.008380   0.809946   1.226930   1.205600   0.708582           nan
     370      1.005700   0.806090   1.227230   1.204890   0.703722           nan
     371      1.004260   0.803112   1.227240   1.203780   0.699276           nan
