  lambda        6528tc     6529tc     6530tc     6531tc     6532tc
% absorb(nm)  --------   --------   --------   --------   --------
     190      0.707021   0.752787   0.757280   0.681827   0.883930
     191      0.676850   0.717960   0.761352   0.678939   0.896064
     192      0.732023   0.759156   0.791582   0.696737   0.955533
     193      0.716505   0.739091   0.806948   0.684982   0.912040
     194      0.749805   0.763426   0.809920   0.696656   0.935276
     195      0.720313   0.747182   0.793229   0.686391   0.921363
     196      0.730517   0.772590   0.816503   0.696684   0.945388
     197      0.742744   0.791822   0.839532   0.719973   0.952122
     198      0.737811   0.788742   0.829680   0.711967   0.951548
     199      0.742323   0.786567   0.831705   0.709133   0.944451
     200      0.759883   0.794915   0.842851   0.716927   0.961685
     201      0.769672   0.803250   0.847309   0.728215   0.974303
     202      0.769267   0.806299   0.859631   0.734142   0.981998
     203      0.785561   0.822809   0.878456   0.743331   0.987657
     204      0.796936   0.830259   0.876839   0.754641   0.994122
     205      0.809488   0.838436   0.881927   0.765382   1.012450
     206      0.813965   0.843633   0.896297   0.769617   1.017440
     207      0.827096   0.857487   0.906893   0.784798   1.024400
     208      0.825974   0.866590   0.904590   0.781336   1.024290
     209      0.842220   0.872683   0.919439   0.789115   1.029030
     210      0.841913   0.877020   0.914593   0.795459   1.035090
     211      0.848579   0.877851   0.923032   0.796507   1.037710
     212      0.845458   0.877636   0.926109   0.792840   1.030640
     213      0.859249   0.887067   0.930082   0.800259   1.046560
     214      0.858707   0.894401   0.935755   0.806734   1.049370
     215      0.867659   0.897117   0.941793   0.809503   1.051020
     216      0.868061   0.901440   0.943897   0.810463   1.053870
     217      0.868597   0.902669   0.942925   0.808289   1.052590
     218      0.872634   0.905041   0.948101   0.815231   1.060890
     219      0.873160   0.908075   0.953333   0.816865   1.062680
     220      0.880263   0.909741   0.954864   0.817030   1.062290
     221      0.883404   0.910502   0.959147   0.815619   1.062100
     222      0.884455   0.917140   0.960350   0.817355   1.064950
     223      0.887946   0.916793   0.960297   0.819834   1.066800
     224      0.889732   0.919660   0.966658   0.820945   1.069390
     225      0.892968   0.924228   0.968066   0.824006   1.073760
     226      0.894096   0.923195   0.971855   0.827756   1.075450
     227      0.895841   0.928190   0.973485   0.831391   1.082390
     228      0.903259   0.936702   0.977720   0.838418   1.080620
     229      0.903180   0.937036   0.978196   0.833357   1.082600
     230      0.907871   0.940274   0.983297   0.840591   1.091920
     231      0.909135   0.940841   0.982317   0.837997   1.091010
     232      0.911011   0.942635   0.986523   0.843259   1.092690
     233      0.916241   0.947491   0.992460   0.851281   1.096740
     234      0.919358   0.952654   0.991892   0.853717   1.102880
     235      0.922762   0.953045   0.993964   0.856019   1.103550
     236      0.926776   0.958115   1.002120   0.860577   1.104790
     237      0.926531   0.960741   1.002540   0.861688   1.108510
     238      0.930952   0.964629   1.004030   0.866501   1.113160
     239      0.933529   0.968724   1.011180   0.873364   1.118820
     240      0.938962   0.970489   1.010180   0.875020   1.119740
     241      0.942013   0.971385   1.014270   0.880784   1.125160
     242      0.943002   0.975108   1.016540   0.884019   1.124050
     243      0.948072   0.982044   1.018130   0.887719   1.131380
     244      0.949710   0.981419   1.019370   0.889696   1.134100
     245      0.950560   0.984641   1.022310   0.891789   1.132870
     246      0.954728   0.986601   1.023180   0.894831   1.135770
     247      0.953050   0.987046   1.025730   0.898924   1.135480
     248      0.957144   0.987939   1.027350   0.901834   1.138820
     249      0.957784   0.991240   1.028650   0.902865   1.140140
     250      0.959944   0.990078   1.030700   0.904907   1.138710
     251      0.960735   0.993372   1.030060   0.906066   1.140900
     252      0.960513   0.996976   1.029380   0.910202   1.143510
     253      0.959421   0.995343   1.029730   0.906520   1.140470
     254      0.961497   0.994476   1.029450   0.909481   1.142650
     255      0.957777   0.994793   1.028600   0.908436   1.140170
     256      0.960221   0.996492   1.028620   0.910537   1.143950
     257      0.958604   0.995642   1.028460   0.908873   1.143640
     258      0.961000   0.999460   1.026440   0.911528   1.145440
     259      0.957052   0.996295   1.024790   0.909586   1.142800
     260      0.957019   0.993721   1.023180   0.910596   1.138900
     261      0.956865   0.995767   1.022820   0.912107   1.142590
     262      0.957548   0.997237   1.026520   0.915607   1.142790
